vim-instacode,https://github.com/mattr555/vim-instacode,Open Source,Instacode submission from vim,VimScript,,https://github.com/mattr555/vim-instacode
AtYourService,http://hths-nhs.tk/,Open Source,Platform for NHS Chapters to track service hours of members,"Django, AJAX, AWS",,https://github.com/mattr555/AtYourService-school
@GovtOpen,https://twitter.com/govtopen,Open Source,Tweetbot to give hourly updates of government shutdown status,Google App Engine,,https://github.com/mattr555/govt-open-tweetbot
DuckDuckGo Stopwatch,https://duckduckgo.com/?q=stopwatch,Open Source,Interactive stopwatch embedded in DDG results,JavaScript,,https://github.com/mattr555/zeroclickinfo-spice/blob/master/share/spice/stopwatch/stopwatch.js
RealTron,http://www.tronisbetterthanbacon.com/,Hackathon,Real-life Tron game using geolocation,"Node.js, Express",,https://github.com/ilanbiala/hackbca
VEX 2014,,Closed Source,Robot code for competiton in TSA VEX,RobotC,,
MATE 2014,,Closed Source,Robot code for competiton in MATE ROV Challenge,"Arduino, PyGame",,
